163406,-,利润回收策略 v10 — 动态预投入 + 分级深跌补仓版,2020/12/1,2025/12/1,1826,32000,31887.5,38897.2,112.5,39009.7,7122.2,22.34%,21.91%,4.11%,81,0,31887.5,0,112.5,1175,1062.5,26,2.2727,1216,FALSE,30,-10.00%,50.00%,TRUE,TRUE,5.00%,5.00%,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基金代码,基金名称,策略名称,回测起始,回测结束,回测天数,累计投入本金,实际买入成本,期末基金市值,期末现金余额,期末总资产,名义盈亏,名义收益率,真实收益率,年化收益率,买入次数,卖出次数,总买入金额,总卖出金额,,,,,,,,,,,,,,,
163406,-,纯基础定投策略（全部现金自动进场）,2010/4/22,2025/12/9,5710,96000,96000,155459.72,0,155459.72,59459.72,61.94%,61.94%,3.13%,189,0,96000,0,,,,,,,,,,,,,,,
163406,-,纯基础定投策略（全部现金自动进场）,2015/12/1,2025/12/1,3653,62000,62000,87806.64,0,87806.64,25806.64,41.62%,41.62%,3.54%,121,0,62000,0,,,,,,,,,,,,,,,
163406,-,纯基础定投策略（全部现金自动进场）,2020/12/1,2025/12/1,1826,32000,32000,38992.09,0,38992.09,6992.09,21.85%,21.85%,4.03%,61,0,32000,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基金代码,基金名称,策略名称,回测起始,回测结束,回测天数,累计投入本金,实际买入成本,期末基金市值,期末现金余额,期末总资产,名义盈亏,名义收益率,真实收益率,年化收益率,买入次数,卖出次数,总买入金额,总卖出金额,,,,,,,,,,,,,,,
163406,-,MA250 均线增强定投策略,2010/4/22,2025/12/9,5710,96000,94632.27,151095.03,1367.73,152462.76,57830.48,61.11%,58.82%,3.10%,226,0,94632.27,0,,,,,,,,,,,,,,,
163406,-,MA250 均线增强定投策略,2015/12/1,2025/12/1,3653,62000,60632.27,86438.06,1367.73,87805.79,27173.51,44.82%,41.62%,3.77%,143,0,60632.27,0,,,,,,,,,,,,,,,
163406,-,MA250 均线增强定投策略,2020/12/1,2025/12/1,1826,32000,30632.27,37734.28,1367.73,39102.01,8469.74,27.65%,22.19%,5.00%,73,0,30632.27,0,,,,,,,,,,,,,,,
