product_code,product_name,nav_date,nav,total_nav,income,weekly_rate,fetched_at
161125,易方达标普500指数(QDII-LOF)A,2025-08-22,2.8044,2.8044,0,1.48%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-08-25,2.7869,2.7869,0,-0.62%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-08-26,2.7989,2.7989,0,0.43%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-08-27,2.8020,2.8020,0,0.11%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-08-28,2.8087,2.8087,0,0.24%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-08-29,2.7904,2.7904,0,-0.65%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-09-01,2.7917,2.7917,0,0.05%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-09-02,2.7745,2.7745,0,-0.62%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-09-03,2.7886,2.7886,0,0.51%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-09-04,2.8087,2.8087,0,0.72%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-09-05,2.8008,2.8008,0,-0.28%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-09-08,2.8049,2.8049,0,0.15%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-09-09,2.8113,2.8113,0,0.23%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-09-10,2.8212,2.8212,0,0.35%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-09-11,2.8426,2.8426,0,0.76%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-09-12,2.8408,2.8408,0,-0.06%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-09-15,2.8551,2.8551,0,0.50%,2025-12-18 02:46:39.762
161125,易方达标普500指数(QDII-LOF)A,2025-09-16,2.8503,2.8503,0,-0.17%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-09-17,2.8471,2.8471,0,-0.11%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-09-18,2.8625,2.8625,0,0.54%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-09-19,2.8772,2.8772,0,0.51%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-09-22,2.8884,2.8884,0,0.39%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-09-23,2.8715,2.8715,0,-0.59%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-09-24,2.8642,2.8642,0,-0.25%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-09-25,2.8523,2.8523,0,-0.42%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-09-26,2.8692,2.8692,0,0.59%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-09-29,2.8739,2.8739,0,0.16%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-09-30,2.8839,2.8839,0,0.35%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-10-09,2.9044,2.9044,0,0.71%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-10-10,2.8282,2.8282,0,-2.62%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-10-13,2.8681,2.8681,0,1.41%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-10-14,2.8643,2.8643,0,-0.13%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-10-15,2.8745,2.8745,0,0.36%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-10-16,2.8563,2.8563,0,-0.63%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-10-17,2.8697,2.8697,0,0.47%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-10-20,2.8994,2.8994,0,1.03%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-10-21,2.8978,2.8978,0,-0.06%,2025-12-18 02:46:39.640
161125,易方达标普500指数(QDII-LOF)A,2025-10-22,2.8835,2.8835,0,-0.49%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-10-23,2.8980,2.8980,0,0.50%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-10-24,2.9201,2.9201,0,0.76%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-10-27,2.9518,2.9518,0,1.09%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-10-28,2.9574,2.9574,0,0.19%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-10-29,2.9567,2.9567,0,-0.02%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-10-30,2.9298,2.9298,0,-0.91%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-10-31,2.9377,2.9377,0,0.27%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-11-03,2.9418,2.9418,0,0.14%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-11-04,2.9100,2.9100,0,-1.08%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-11-05,2.9204,2.9204,0,0.36%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-11-06,2.8886,2.8886,0,-1.09%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-11-07,2.8910,2.8910,0,0.08%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-11-10,2.9332,2.9332,0,1.46%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-11-11,2.9391,2.9391,0,0.20%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-11-12,2.9397,2.9397,0,0.02%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-11-13,2.8953,2.8953,0,-1.51%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-11-14,2.8934,2.8934,0,-0.07%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-11-17,2.8680,2.8680,0,-0.88%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-11-18,2.8471,2.8471,0,-0.73%,2025-12-18 02:46:39.464
161125,易方达标普500指数(QDII-LOF)A,2025-11-19,2.8577,2.8577,0,0.37%,2025-12-18 02:46:39.255
161125,易方达标普500指数(QDII-LOF)A,2025-11-20,2.8168,2.8168,0,-1.43%,2025-12-18 02:46:39.255
161125,易方达标普500指数(QDII-LOF)A,2025-11-21,2.8417,2.8417,0,0.88%,2025-12-18 02:46:39.255
161125,易方达标普500指数(QDII-LOF)A,2025-11-24,2.8823,2.8823,0,1.43%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-11-25,2.9062,2.9062,0,0.83%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-11-26,2.9241,2.9241,0,0.62%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-11-27,2.9234,2.9234,0,-0.02%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-11-28,2.9383,2.9383,0,0.51%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-12-01,2.9227,2.9227,0,-0.53%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-12-02,2.9307,2.9307,0,0.27%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-12-03,2.9375,2.9375,0,0.23%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-12-04,2.9397,2.9397,0,0.07%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-12-05,2.9458,2.9458,0,0.21%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-12-08,2.9368,2.9368,0,-0.31%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-12-09,2.9346,2.9346,0,-0.07%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-12-10,2.9524,2.9524,0,0.61%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-12-11,2.9557,2.9557,0,0.11%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-12-12,2.9240,2.9240,0,-1.07%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-12-15,2.9205,2.9205,0,-0.12%,2025-12-18 02:46:39.254
161125,易方达标普500指数(QDII-LOF)A,2025-12-16,2.9118,2.9118,0,-0.30%,2025-12-18 02:46:39.254
